"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"A","ctrl",194,51.2633333333333,0,1.06176,0,1.84524,0.1995,2.907,0.33198,0.04344,"flooding"
"A","ctrl",194,46.1066666666667,0,0.70932,0.05178,1.55814,0.23868,2.31924,0.402,0,"flooding"
"A","ctrl",194,56.875,0,0.66792,0.13698,1.92102,0.30522,2.72592,0.40452,0,"flooding"
"A","ctrl",194,42.9216666666667,0,1.2117,0.07428,2.12502,0.66954,3.411,0.78972,0,"flooding"
"A","ctrl",194,68.0983333333333,0,1.47552,0,2.75214,0.38934,4.22766,0.68736,0,"flooding"
"A","ctrl",194,59.9841666666667,0,1.06038,0.03372,2.0946,0.29148,3.1887,0.57726,0,"flooding"
"A","ctrl",194,72.7241666666667,0,1.1406,0.1104,2.46348,0.21936,3.71448,0.68322,0,"flooding"
"A","ctrl",194,54.8275,0,0.82398,0.08628,2.05008,0.27504,2.96034,0.43422,0.07848,"flooding"
"A","ctrl",194,42.3908333333333,0,0.6267,0,1.26852,0.2598,1.89522,0.39756,0,"flooding"
"A","ctrl",194,46.1066666666667,0,1.08402,0,2.0238,0.22662,3.10782,0.53184,0,"flooding"
"A","ctrl",194,56.2683333333333,0,1.25376,0,2.18718,0.30378,3.44094,0.55962,0.21048,"flooding"
"A","ctrl",194,47.4716666666667,0,1.29396,0,2.05794,0.28182,3.3519,0.73614,0,"flooding"
"C","ctrl",194,34.0491666666667,0,0.5727,0.1113,0.97668,0.14022,1.66068,0.5838,0.00702,"flooding"
"C","ctrl",194,46.41,0.02118,0.59982,0.08106,0.97692,0.12672,1.67898,0.48318,0,"flooding"
"C","ctrl",194,31.3191666666667,0,0.92142,0.18876,1.66458,0.16992,2.77476,0.67782,0,"flooding"
"C","ctrl",194,52.4766666666667,0,0.86832,0.1557,1.89108,0.15522,2.9151,1.04082,0,"flooding"
"C","ctrl",194,42.5425,0,0.96534,0.17124,1.56006,0.1536,2.69664,0.62784,0,"flooding"
"C","ctrl",194,43.68,0,1.00098,0.14346,1.78656,0.09012,2.931,0.4842,0,"flooding"
"C","ctrl",194,26.2383333333333,0,0.88806,0.28566,1.48104,0.24102,2.65476,1.57002,0,"flooding"
"C","ctrl",194,42.3908333333333,0,0.83556,0.18588,1.4415,0.24798,2.46294,0.94254,0,"flooding"
"C","ctrl",194,43.5283333333333,0,0.71196,0.04758,1.10868,0.15126,1.86822,0.5637,0,"flooding"
"C","ctrl",194,59.0741666666667,0,0.74028,0.2493,2.05044,0.20022,3.04002,1.20186,0,"flooding"
"C","ctrl",194,34.7316666666667,0,0.6915,0.12648,1.13994,0.20214,1.95792,0.65664,0,"flooding"
"C","ctrl",194,35.2625,0,0.89124,0.08436,1.35564,0.25002,2.33124,0.81234,0,"flooding"
"D","ctrl",194,43.9075,0,0.88302,0.0105,1.18164,0.19656,2.07516,0.3846,0,"flooding"
"D","ctrl",194,43.6041666666667,0,1.40436,0.00636,1.3014,0.32436,2.71212,0.67392,0,"flooding"
"D","ctrl",194,32.1533333333333,0,0.58764,0.00972,0.66786,0.16026,1.26522,0.32136,0,"flooding"
"D","ctrl",194,33.7458333333333,0,1.13982,0.06336,1.29612,0.30066,2.4993,0.54876,0,"flooding"
"D","ctrl",194,49.2916666666667,0,0.61494,0.08838,1.22718,0.17304,1.9305,0.36198,0,"flooding"
"D","ctrl",194,40.2675,0,1.0398,0.05712,1.27056,0.26148,2.36748,0.47388,0,"flooding"
"D","ctrl",194,36.2483333333333,0,0.91638,0.0363,1.38402,0.21162,2.3367,0.48168,0,"flooding"
"D","ctrl",194,38.0683333333333,0,0.82044,0.07524,1.23684,0.18852,2.13252,0.42522,0,"flooding"
"D","ctrl",194,38.5233333333333,0,1.41954,0.0234,1.78968,0.28872,3.23262,0.82056,0,"flooding"
"D","ctrl",194,38.9783333333333,0,1.38528,0.05556,1.53336,0.27096,2.9742,0.65466,0,"flooding"
"D","ctrl",194,36.1725,0,0.76638,0.02184,1.09722,0.25728,1.88544,0.58794,0,"flooding"
"D","ctrl",194,40.495,0,0.6684,0.03366,0.98556,0.12882,1.68762,0.33834,0,"flooding"
"A","ctrl",194,44.9438888899,0,0.72768,0,1.6492400004,0.21096,2.3769200004,0.2421200004,0.1037199996,"flooding"
"A","ctrl",194,45.7275,0,0.60468,0,1.4286,0.31782,2.03328,0.31914,0.0906,"flooding"
"A","ctrl",194,38.5233333333333,0,0.6230000004,0.054,1.5429200004,0.3134799996,2.2199199996,0.3317199996,0.0925599996,"flooding"
"A","ctrl",194,53.7658333333333,0,0.89412,0,2.50284,0.2904,3.39696,0.46662,0.11202,"flooding"
"A","ctrl",194,57.1025,0,1.28664,0,3.06726,0.519,4.3539,0.5859,0.08922,"flooding"
"A","ctrl",194,35.7933333333333,0,0.7238000004,0.07836,1.752,0.3847599996,2.5541600004,0.41496,0.1004799996,"flooding"
"A","ctrl",194,53.7658333333333,0,1.22658,0,2.93568,0.55002,4.16226,0.49596,0.10962,"flooding"
"A","ctrl",194,39.585,0,0.52704,0.12768,1.31766,0.201,1.97238,0.35142,0.07728,"flooding"
"A","ctrl",194,55.2066666666667,0,1.16244,0,2.6886,0.34116,3.85104,0.36858,0.09948,"flooding"
"A","ctrl",194,47.6233333333333,0,0.50376,0.08286,1.33506,0.19944,1.92168,0.35022,0.07062,"flooding"
"A","ctrl",194,34.2008333333333,0,0.89334,0.01692,1.43268,0.40818,2.34294,0.4431,0.09552,"flooding"
"A","ctrl",194,35.7933333333333,0,0.7752,0,1.26696,0.30648,2.04216,0.41628,0.11472,"flooding"
"C","ctrl",194,36.4,0.03684,0.83538,0.15516,1.97946,0.24252,3.00684,0.94842,0.14016,"flooding"
"C","ctrl",194,29.8783333333333,0,1.11288,0.09054,1.74666,0.36372,2.95008,1.21692,0,"flooding"
"C","ctrl",194,28.4375,0,0.93918,0.1257,1.39728,0.42444,2.46216,1.14258,0,"flooding"
"C","ctrl",194,32.5325,0,0.66342,0.07908,1.17366,0.23814,1.91616,0.69624,0,"flooding"
"C","ctrl",194,39.8883333333333,0,1.01556,0.11172,2.06988,0.48072,3.19716,1.13352,0,"flooding"
"C","ctrl",194,33.8975,0,0.44628,0.0801,0.83256,0.20382,1.35894,0.42114,0.0096,"flooding"
"C","ctrl",194,26.2383333333333,0,0.6756,0.13848,1.18344,0.35202,1.99752,1.49226,0,"flooding"
"C","ctrl",194,55.51,0,0.70998,0.15576,1.97544,0.31746,2.84118,0.94584,0.01062,"flooding"
"C","ctrl",194,43.9833333333333,0.12516,0.60462,0.21048,1.59378,0.2778,2.53404,0.6228,0,"flooding"
"C","ctrl",194,45.3483333333333,0.08412,0.55602,0.1356,1.31256,0.21024,2.0883,0.53016,0.01044,"flooding"
"C","ctrl",194,29.4991666666667,0,0.82074,0.17484,1.60296,0.35088,2.59854,1.28094,0.02442,"flooding"
"C","ctrl",194,36.4758333333333,0,0.49158,0.15024,0.95568,0.2262,1.5975,0.68796,0,"flooding"
"D","ctrl",194,29.9541666666667,0,0.903,NA,1.41558,0.23448,2.31858,0.4146,0,"flooding"
"D","ctrl",194,35.4141666666667,0,0.54486,0.05268,0.90834,0.20604,1.50588,0.44976,0,"flooding"
"D","ctrl",194,41.7083333333333,0,0.86724,0.0558,1.77132,0.21912,2.69436,0.38274,0,"flooding"
"D","ctrl",194,30.485,0,0.89898,0.03456,1.2375,0.3102,2.17104,0.3441,0,"flooding"
"D","ctrl",194,34.2008333333333,0,1.0038,0.00852,1.24002,0.3408,2.25234,0.43692,0,"flooding"
"D","ctrl",194,32.5325,0,0.76902,0.06744,1.14804,0.31302,1.9845,0.35448,0,"flooding"
"D","ctrl",194,31.6983333363667,0,0.85344,0.01938,1.3374,0.27984,2.21022,0.4282400004,0,"flooding"
"D","ctrl",194,32.305,0,0.6084800004,0.01848,1.1256399996,0.2160399996,1.7526,0.4189599996,0,"flooding"
"D","ctrl",194,30.1058333333333,0,0.70536,0.03966,1.02564,0.22368,1.77066,0.38058,0,"flooding"
"D","ctrl",194,30.4344444434333,0,0.7293200004,0.0548799996,1.17204,0.2764400004,1.95624,0.4398399996,0,"flooding"
"D","ctrl",194,33.215,0,0.8692400004,0.0366,1.2746799996,0.2552000004,2.18052,0.4751600004,0,"flooding"
"D","ctrl",194,35.2625,0,0.52956,0.04194,0.97074,0.15648,1.54224,0.30978,0,"flooding"
